,Unnamed: 0,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
13,234,75.7496699731306,26.8946788595357,3.0,235,574449.0789548256,2974990.372439676,7699,8190,9177,9413,14051,12809,11046,0.1976645073303776,2.611589460995339,2.393670886075941
14,238,75.7501974804599,26.8938119127076,3.0,239,574502.0358027559,2974894.656840388,7724,8144,9144,9153,14918,13089,11060,0.2394998130530504,2.4836671930845213,2.274681329667575
15,246,75.7581727646297,26.9307293988785,3.0,247,575269.594966509,2978988.486252773,8816,9127,10644,10200,20729,16741,12745,0.3404248439975417,1.7674752175437425,1.6425940752602035
16,69,75.7811569246501,26.8369394029278,3.0,70,577615.5393444219,2968613.86178899,8950,9350,10579,11103,16101,14790,13057,0.1837229819144236,2.2494002998500666,2.07908452300022
17,245,75.7538192198504,26.9306166857451,3.0,246,574837.4449014427,2978973.4185862155,8733,9146,10480,10485,18942,16365,12813,0.2873891324294006,1.93984093535449,1.7831874699068122
18,117,75.9034572788007,26.8930645399759,1.0,118,589723.5283018737,2974911.237091326,7877,8211,9019,8946,13611,12311,10385,0.2068094161457631,2.6930623066725468,2.4780495332150205
19,282,75.8524160061717,26.9830664884969,2.0,283,584587.1275316657,2984845.2111047697,7851,8054,8631,8437,8396,8163,7935,3.890869126121287,0.0138016092089034,3.943656017875452
20,44,75.7749135215699,26.8423783055685,4.0,45,576991.494976236,2969212.4861430232,9014,10175,11447,12162,13929,14926,13592,0.0677245027020809,2.484788776796964,0.034552070698319
21,72,75.7805677152863,26.8371455479222,2.0,73,577556.8530590521,2968636.334744031,9166,9729,10578,11070,12595,12984,12465,0.0644411578280158,2.741077978682075,0.0152077876382969
22,128,75.901894003993,26.8971169125357,4.0,129,589565.0733523585,2975358.994534546,9269,10111,11153,11760,13612,14285,13128,0.072993851489831,2.5470220068645166,0.0241244578270064
23,220,75.7477204895225,26.898921853271,4.0,221,574252.6961599039,2975459.1954808254,8940,9744,10754,11296,12666,13695,12936,0.0571738586094647,2.716652433817239,0.0390349379765561
24,94,75.6908543451517,26.8015643055647,2.0,95,568664.1398279291,2964643.6367464387,7170,7475,8148,7965,8398,7914,7747,0.0264621401943407,3.945727063942924,3.987984306032344
25,39,75.7777257660816,26.845933407121,4.0,40,577268.5018304783,2969607.9688943,8798,9345,10869,11215,14124,13861,12476,0.1148032676901215,2.491937742567909,2.332428086474889
26,227,75.7474269202262,26.8948990365079,4.0,228,574226.1718558872,2975013.443371116,8345,8987,10619,11112,14456,14724,13550,0.1307884856070082,2.460578265204377,0.0091843728581219
27,213,75.749514014442,26.9001144785372,4.0,214,574430.027076294,2975592.3474654667,8889,9758,10425,11146,13330,13376,12093,0.0892302663833956,2.636539675857703,0.0017224593724256
28,35,75.7810473982785,26.8429513667142,3.0,36,577600.5576963796,2969279.6969054025,8782,9123,10543,10636,19030,15836,13118,0.2829501786556992,1.929090724647476,1.7880456605288768
29,199,75.7477525986643,26.8982062781113,4.0,200,574256.3528790363,2975379.9549021684,9439,10088,11721,12137,13186,13643,13144,0.0414247916913476,2.5724093628297164,0.0170338067017033
30,303,75.8486602257065,26.8815934305185,1.0,304,584289.82826995,2973603.001539362,8344,8562,9352,9313,14714,13643,11123,0.2247887792899645,2.5003739715781497,2.27333638960397
31,287,75.8183510161166,26.9857327660326,1.0,288,581204.7299853492,2985118.178106367,8371,8609,9259,9553,13172,13940,11846,0.1592519251925185,2.747224822789877,0.0283269401003244
32,247,75.754763192343,26.9295459109774,3.0,248,574931.871189115,2978855.374326036,8785,9235,10812,10747,19519,17279,13610,0.2898301724707583,1.873627641686717,1.7200934833414812
33,36,75.7794237250321,26.8457423867391,2.0,37,577437.3333969783,2969587.8462361,8529,9071,10390,10726,12243,11878,11348,0.0660455396403845,2.813723324349389,2.7018365739397097
34,172,75.7591926271789,26.89475683888,2.0,173,575394.7464730593,2975004.642969049,10243,10634,11748,12124,14007,13371,12391,0.0720600053576209,2.4568821588041065,2.370516473080567
35,189,75.7553211820841,26.8957384612144,3.0,190,575009.6149833909,2975111.07187966,8432,8827,9792,10207,14762,14347,12305,0.1824262084985374,2.466644945833663,2.2371431516025897
36,71,75.7804925636934,26.8362270284535,2.0,72,577550.0114525377,2968534.551058155,8278,8816,9498,9744,12245,10321,9833,0.1137386875255804,2.8877799751644075,2.8189311353363347
37,101,75.9257638405039,26.9202737319743,2.0,102,591916.896411055,2977941.097123109,7231,7545,8162,7964,8128,7930,7773,0.0101913994531443,0.0020871700429711,4.068875326939818
38,73,75.7804508128085,26.8377217101343,2.0,74,577544.8447814789,2968700.0806303723,8612,9161,10347,10876,12005,10855,10662,0.0493422490275772,2.857820329277009,2.816535433070854
39,15,75.8113995191402,26.8997674684201,3.0,16,580576.0103144805,2975591.788985176,8081,8256,8904,8675,15108,11736,9776,0.2704873228776846,2.4709312010661235,2.315750260765898
40,57,75.7840754982596,26.8405897202572,3.0,58,577903.0406037032,2969019.969754966,8275,8510,9737,9456,19072,12933,10787,0.3370723499719562,1.9508139817418104,1.855866270895167
41,0,75.7591352470284,26.9226934874396,1.0,1,575370.4921035261,2978098.9710664004,8133,8455,9362,9095,15685,12869,10335,0.2659402744148496,2.364075537988572,2.196539889332485
42,264,75.772975783505,26.9885506339448,4.0,265,576700.0815075208,2985401.923483235,9173,9927,11165,11923,13442,13979,13662,0.0598856692292526,2.570772544397925,0.0195835308705006
43,180,75.7529818017543,26.8967843018324,4.0,181,574776.5985477827,2975225.5291745714,8735,9373,10261,10807,12330,12345,12016,0.0658253014651853,2.8093931211544296,0.0006079027355623
44,76,75.7797410477645,26.839349994647,4.0,77,577473.2124151232,2968880.0004306408,9157,9521,10329,10812,11904,11968,11436,0.0480718436344424,2.8768497278819645,0.002680965147453
45,173,75.7570275536188,26.8912890515676,2.0,174,575182.0231795824,2974619.252467366,8486,8969,10202,10543,11532,12077,11633,0.0448018120045298,2.954173184871616,0.0230844169596339
46,56,75.782994731875,26.8404460013231,3.0,57,577795.7536167669,2969003.387940293,8100,8315,9437,8719,21804,13142,10207,0.4286931166661192,1.7018981466662346,1.627482401419328
47,33,75.781928214484,26.8421342239693,3.0,34,577688.6317472071,2969189.726858105,8551,8915,10084,10077,17147,13776,11715,0.2596973258889206,2.147295361903705,2.0103159460595608
48,269,75.7845856402585,26.9747888357793,4.0,270,577861.6063321097,2983884.703741154,9099,9729,10628,11220,14026,14552,13420,0.1111463202091416,2.52040236878396,0.0184057666736649
49,278,75.851429167903,26.9811387114138,2.0,279,584490.6369134855,2984631.0179050914,7904,8083,8645,8421,8411,8198,7950,3.892942015209103,0.0137195121951218,3.932988138960781
50,123,75.9041250855147,26.890818281029,1.0,124,589791.6283380258,2974662.901894161,7810,8159,8978,8803,14084,11899,9923,0.2307423428146973,2.6203278119850726,2.438171111880836
51,108,75.9211615287593,26.9243391073486,2.0,109,591456.6420324092,2978388.069529544,7566,7845,8392,8193,8474,8164,7931,0.0168596628067437,3.880825329064368,3.920302921024138
52,87,75.7775011112585,26.8352836832151,4.0,88,577253.4089200238,2968428.2390479343,10156,10887,12897,13180,13815,14157,13016,0.0235228746064085,2.4190625935908865,0.0122265122265121
53,97,75.6841556142015,26.8061021555632,2.0,98,567995.6262432701,2965142.65031835,7357,7872,9285,8987,11977,10123,9029,0.1426254531577936,2.955695607186516,2.8815384615384487
54,141,75.8908119714178,26.8918550739544,3.0,142,588468.5877795771,2974768.374471796,8534,8864,9626,10132,13648,15488,13235,0.1478553406223711,2.643035146515414,0.0631521142229542
55,6,75.8275409354201,26.93224340191,4.0,7,582155.4779495583,2979199.3509801663,9105,9993,10838,11606,13208,13827,12878,0.0645603288466186,2.626881809864416,0.0228962456075456
56,55,75.7849723044085,26.8405782227425,3.0,56,577992.1553753605,2969019.2471781154,8054,8264,9278,9047,18478,11831,10122,0.3426339691189815,2.0296872748234542,1.9429542380151048
57,25,75.8086804141524,26.8948850940452,4.0,26,580309.4322369525,2975049.2695909617,8397,8921,9760,10065,11455,11226,10833,0.0645910780669142,3.0092387461701486,2.8793703981305816
58,90,75.7675221227274,26.8287632432717,3.0,91,576266.2166675777,2967699.9833297096,8031,8252,9224,8650,21656,12096,9741,0.4291559427176122,1.7196891191709789,1.6584498696373495
59,194,75.7557064917855,26.894288962814,4.0,195,575048.8386983961,2974950.748948385,9200,9765,10893,11300,13260,13948,12720,0.079804560260586,2.6153686912598744,0.025286680388121
60,119,75.9088604422137,26.8927761688949,1.0,120,590260.379457123,2974883.134620683,7949,8329,9246,9338,14016,13237,11046,0.200308298364305,2.6122431433238646,2.376142076101705
61,206,75.7509956219842,26.8966742133463,4.0,207,574579.421952583,2975212.164203008,9738,10583,12250,12693,15445,14889,13329,0.0978036818537206,2.2509839321177028,2.142150721962148
62,221,75.7478397520491,26.8973439183035,4.0,222,574265.572079309,2975284.4882729505,8445,9263,10458,10947,12634,13007,12384,0.0715406471311646,2.7438073791789246,0.0145470145470144
63,302,75.8447744296053,26.876852759275,1.0,303,583907.3707608676,2973075.324493302,8096,8302,8826,8843,13106,12228,10290,0.1942229714337774,2.792996534743741,2.5522223099392023
64,217,75.7491287047406,26.8986970892785,4.0,218,574392.6915693405,2975435.126400181,8203,9147,10798,11486,13589,14966,13680,0.083868394815553,2.572887193996791,0.0482227280686393
65,177,75.7576055181708,26.8957751573765,4.0,178,575236.4519134391,2975116.491481208,9285,9936,11660,12076,14028,14519,13642,0.0747778118296043,2.459047025848636,0.0171997057484148
66,156,75.8764093002982,26.8929803007386,4.0,157,587037.2960280918,2974883.0317680323,8914,9541,10972,11056,18166,16245,13669,0.243309835055779,2.002265083396245,1.8486821074656303
67,186,75.7549175243017,26.8929403788592,3.0,187,574971.3743280084,2974800.9081415846,8223,8599,9982,9790,18036,12034,10024,0.296341551067346,2.051609679491748,1.9798470236115664
68,109,75.9407213536735,26.9132935591618,2.0,110,593407.8183500576,2977178.8793123034,7451,7728,8237,8138,8329,7992,7790,0.0115989554867309,3.950501026198214,3.99479198578516
69,285,75.8238522749988,26.9673556379496,1.0,286,581763.918636967,2983086.1744457823,8041,8086,8242,8197,9719,9221,8459,0.0849519982138865,3.5665608819107875,3.4338965153114924
70,159,75.8701539529314,26.8897463786548,4.0,160,586418.5019346178,2974520.5427041305,9333,10013,11660,12345,14844,14881,14074,0.0919121703630141,2.3525505584062696,0.0012447434819175
71,223,75.7483030410948,26.8961421189968,4.0,224,574312.3679160416,2975151.6449128613,9435,10421,12153,12793,14987,16273,14831,0.0789776817854568,2.3103168754605665,0.0411388355726166
72,253,75.7567074938949,26.9264603889494,1.0,254,575126.949719992,2978514.763360743,8137,8394,9203,8940,14588,11957,9900,0.2400544032641948,2.528309024420989,2.3697494820116694
