,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
0,75.7591352470284,26.9226934874396,1.0,1,575370.4921035261,2978098.9710664004,8133,8455,9362,9095,15685,12869,10335,0.26594027441484963,2.364075537988572,2.1965398893324855
1,75.7539912069542,26.9391544156771,4.0,2,574848.8824754998,2979919.192369606,9272,10119,11657,12150,14504,14692,14080,0.08831695055151165,2.3962769007300855,0.006439238251815295
2,75.7859699894156,26.9479850178045,4.0,3,578017.4594109111,2980916.6390965143,9590,10419,11727,12526,14165,14986,14029,0.06140646659922798,2.4369689479375776,0.028163699358512477
3,75.7805687473377,26.9521859838651,4.0,4,577478.4248655158,2981378.635184518,9411,10435,11441,12021,14159,14605,13266,0.081665393430099,2.4538281249999905,0.015505492977332724
4,75.8242907465778,26.9329321036349,2.0,5,581832.2997724467,2979273.5280396757,7293,7714,8902,8389,8426,8108,8002,0.002200416294974712,0.027469990766389504,3.944478045240088
5,75.8261635319702,26.9334758155231,2.0,6,582017.8367197503,2979334.9653314976,7021,7619,8986,8529,10189,9059,8706,0.08868468853509943,3.3550456323337507,3.3461138819617453
6,75.8275409354201,26.93224340191,4.0,7,582155.4779495583,2979199.3509801663,9105,9993,10838,11606,13208,13827,12878,0.0645603288466186,2.626881809864416,0.02289624560754569
7,75.8466938995474,26.9599407769495,2.0,8,584036.4552296312,2982279.849849759,7306,7608,8274,8161,8315,7989,7790,0.009346928866229611,3.9480981373198873,3.9996319921491414
8,75.8543916489155,26.9573515339803,2.0,9,584802.4482515865,2981998.192711276,7650,7870,8314,8167,8263,7935,7735,0.005842970176506356,0.0030765518489473185,4.025682182985529
9,75.8545665977647,26.9521030685021,2.0,10,584823.744193054,2981416.959660671,7725,7892,8367,8170,8264,8010,7817,0.005719849093343035,0.006193253562623979,4.011429273688067
10,75.8443145951973,26.953817567225,2.0,11,583804.8243457709,2981600.02840788,7328,7629,8272,8122,8186,7960,7805,0.00392445425558006,0.00522542228703363,4.044964697138585
11,75.8495280709057,26.9563368306545,2.0,12,584320.4493824439,2981882.5439735856,7509,7760,8312,8136,8172,7851,7690,0.0022075055187637835,0.008493084202863332,4.070086750296423
12,75.8050774004187,26.9021732304114,3.0,13,579946.4735808285,2975854.253885406,9026,9071,10052,9589,20044,15671,11902,0.3528161171666711,1.8455608718766554,1.712529749405007
13,75.8076510062699,26.9057119384569,3.0,14,580199.5497233024,2976247.843771131,8615,8892,10193,9827,19972,15638,11990,0.34044766602906024,1.8484004641140335,1.7186745296265045
14,75.8082244727911,26.9054741596554,3.0,15,580256.6651878546,2976221.8697877,8380,8610,9637,9302,17076,14427,11264,0.29471529304723526,2.174858683038213,1.9962225819763135
15,75.8113995191402,26.8997674684201,3.0,16,580576.0103144805,2975591.788985176,8081,8256,8904,8675,15108,11736,9776,0.2704873228776846,2.4709312010661235,2.315750260765898
16,75.8106302347825,26.9045090574612,3.0,17,580496.2511811216,2976116.4982785713,8571,8732,9562,9473,15104,13166,11207,0.22911665378199036,2.4322549258087958,2.2496639547223127
17,75.8107701046657,26.9029704887458,4.0,18,580511.2321988983,2975946.168756387,9729,9947,10996,12520,14888,14315,12666,0.08639813193228224,2.381548446917005,2.224531726192507
18,75.8038605324347,26.9024809441545,4.0,19,579825.4140293121,2975887.569775187,8668,9171,10588,11569,15169,16064,14085,0.13463983843219338,2.3665411344488785,0.02865558864022019
19,75.8021121588945,26.9039076169634,4.0,20,579650.7882167731,2976044.492873093,9451,9939,10847,11626,13383,13934,12882,0.07025470830500992,2.60008254230292,0.020170589742651023
20,75.8063362293677,26.905544094597,4.0,21,580069.1059690055,2976228.4204594404,10497,11070,12968,13820,17316,18274,17237,0.11228160328879717,2.020472856954161,0.026917673503793125
