model,accuracy,macro_f1,weighted_f1
Decision Tree Classifier,0.8913043478260869,0.8898307398307398,0.8892710892710893
Random Forest Classifier,0.8695652173913043,0.8610727003512035,0.8707937114299957
SVM Classifier,0.8478260869565217,0.8331168831168831,0.8469791078486731
